Date,NFLX,META,MSFT
2024-02-23,583.5599975585938,481.89984130859375,405.81756591796875
2024-02-26,587.6500244140625,479.619873046875,403.0484619140625
2024-02-27,601.6699829101562,484.9065246582031,402.98907470703125
2024-02-28,596.47998046875,481.8898620605469,403.2264404296875
2024-02-29,602.9199829101562,487.9729919433594,409.0812072753906
2024-03-01,619.3400268554688,500.08941650390625,410.9206848144531
2024-03-04,615.8300170898438,495.9975280761719,410.3471374511719
2024-03-05,598.5,488.06256103515625,398.2123107910156
2024-03-06,597.6900024414062,493.90673828125,397.65850830078125
2024-03-07,608.510009765625,509.9358825683594,404.6308288574219
2024-03-08,604.8200073242188,503.7233581542969,401.742919921875
2024-03-11,600.9299926757812,481.46173095703125,400.06170654296875
2024-03-12,611.0800170898438,497.5506286621094,410.7030944824219
2024-03-13,609.4500122070312,493.38909912109375,410.5251159667969
2024-03-14,613.010009765625,489.66546630859375,420.5335693359375
2024-03-15,605.8800048828125,481.9695739746094,411.83050537109375
2024-03-18,618.3900146484375,494.7928466796875,412.7206726074219
2024-03-19,620.739990234375,494.05609130859375,416.76556396484375
2024-03-20,627.6900024414062,503.2952575683594,420.5434875488281
2024-03-21,622.7100219726562,505.5253601074219,424.6378173828125
2024-03-22,628.010009765625,507.3373718261719,424.0147705078125
2024-03-25,627.4600219726562,500.8062744140625,418.1995544433594
2024-03-26,629.239990234375,493.7076416015625,417.0028991699219
2024-03-27,613.530029296875,491.6865539550781,416.78533935546875
2024-03-28,607.3300170898438,483.4429931640625,416.0831604003906
2024-04-01,614.3099975585938,489.1876220703125,419.8907470703125
2024-04-02,614.2100219726562,495.1811218261719,416.79522705078125
2024-04-03,630.0800170898438,504.5098571777344,415.8161926269531
2024-04-04,617.1400146484375,508.6715087890625,413.2745361328125
2024-04-05,636.1799926757812,525.0192260742188,420.8302917480469
2024-04-08,628.4099731445312,516.96484375,419.9105224609375
2024-04-09,618.2000122070312,514.6251831054688,421.5819091796875
2024-04-10,618.5800170898438,517.5422973632812,418.5951843261719
2024-04-11,628.780029296875,520.8576049804688,423.21368408203125
2024-04-12,622.8300170898438,509.64715576171875,417.2501220703125
2024-04-15,607.1500244140625,498.0285339355469,409.0812072753906
2024-04-16,617.52001953125,497.5606384277344,410.0108337402344
2024-04-17,613.6900024414062,491.99517822265625,407.3010559082031
2024-04-18,610.5599975585938,499.59161376953125,399.814453125
2024-04-19,555.0399780273438,478.952880859375,394.72125244140625
2024-04-22,554.5999755859375,479.6099548339844,396.5409240722656
2024-04-23,577.75,493.9167175292969,403.078125
2024-04-24,555.1199951171875,491.3281555175781,404.5516662597656
2024-04-25,564.7999877929688,439.4375305175781,394.64208984375
2024-04-26,561.22998046875,441.3391418457031,401.8418884277344
2024-04-29,559.489990234375,430.7160949707031,397.81671142578125
2024-04-30,550.6400146484375,428.27685546875,385.03912353515625
2024-05-01,551.7100219726562,437.2571716308594,390.5872802734375
2024-05-02,565.1500244140625,439.7361755371094,393.4553527832031
2024-05-03,579.3400268554688,449.9709777832031,402.1781311035156
2024-05-06,596.969970703125,463.6305847167969,408.9823303222656
2024-05-07,606.0,466.1793212890625,404.82861328125
2024-05-08,609.469970703125,470.5201416015625,406.015380859375
2024-05-09,612.0900268554688,473.3277282714844,407.7757263183594
2024-05-10,610.8699951171875,474.10430908203125,410.1690673828125
2024-05-13,616.5900268554688,465.9503479003906,409.1603088378906
